trigger,T50,errT50,T90,errT90
2230,4.864,1.056,7.36,2.166
2232,6.4,0.143,56.512,3.265
2233,6.4,1.664,14.208,4.222
2240,20.8,1.056,42.208,3.328
2244,229.76,2.009,261.792,5.41
2252,12.672,0.405,35.328,6.725
2253,11.52,0.389,19.648,0.143
2254,1.92,0.143,5.44,0.516
2265,0.256,0.018,0.456,0.034
2267,5.568,0.264,14.08,0.73
2268,0.416,0.011,1.954,0.129
2273,0.096,0.07,0.224,0.066
2276,57.76,1.175,119.136,1.056
2277,36.416,2.759,69.504,1.684
2283,1.92,0.091,2.24,0.326
2287,246.528,1.18,461.984,2.347
2288,0.256,0.091,0.448,0.091
2291,0.064,0.091,0.064,0.091
2298,31.68,0.73,70.016,4.184
2304,17.888,1.094,54.304,2.522
2306,3.968,0.643,21.12,8.257
2309,12.864,0.143,20.48,0.202
2310,14.624,1.056,26.912,1.448
2311,8.928,1.118,26.4,5.446
2312,0.112,0.018,0.272,0.133
2315,9.536,0.181,19.328,0.231
2316,11.456,0.091,29.184,0.286
2317,0.448,0.091,0.896,0.091
2320,0.248,0.011,0.608,0.041
2321,3.2,0.091,8.384,0.58
2324,27.456,0.81,92.704,3.746
2325,16.448,0.326,22.528,0.653
2326,0.032,0.025,0.088,0.025
2327,0.96,0.181,2.496,1.988
2328,17.536,0.668,53.984,1.448
2329,7.36,0.091,22.144,0.091
2330,0.088,0.006,0.804,0.009
2332,0.024,0.009,0.052,0.156
2340,11.584,0.143,22.464,0.091
2344,13.632,1.026,31.52,3.543
2345,52.736,1.793,88.96,5.186
2346,37.824,0.5,83.104,1.056
2347,4.032,0.202,12.16,2.063
2349,1.696,0.279,4.032,0.143
2352,0.64,0.178,0.96,0.256
2353,0.408,0.033,1.008,0.04
2357,0.232,0.011,0.424,0.051
2358,0.96,0.091,1.28,0.091
2360,0.2,0.036,0.568,0.193
2362,27.216,0.193,45.328,0.84
2365,0.576,0.389,1.536,0.604
2367,6.336,0.707,18.816,0.643
2368,1.815,0.17,4.135,0.954
2371,6.464,0.091,18.112,0.202
2372,0.072,0.043,0.256,0.103
2373,13.952,1.605,52.512,2.807
2375,35.712,5.194,67.84,3.756
2377,0.264,0.011,0.496,0.011
2380,44.608,1.421,81.984,2.263
2381,1.627,0.181,4.096,0.792
2382,0.832,0.143,1.92,0.528
2383,22.4,0.264,50.944,1.154
2384,0.128,0.091,0.192,0.091
2385,6.912,1.444,17.856,0.951
2387,12.992,0.202,41.984,1.218
2391,6.016,0.689,13.92,2.233
2392,7.36,0.854,20.48,5.638
2393,1.792,0.091,5.134,0.066
2394,60.288,7.617,140.064,6.004
2395,0.064,0.091,0.128,0.091
2401,1.472,0.264,3.2,0.516
2405,25.088,1.605,64.014,9.926
2412,0.576,0.143,1.407,0.346
2419,33.152,10.119,76.256,7.177
2423,4.608,0.143,11.52,0.724
2424,1.846,0.836,2.47,0.828
2428,13.376,0.516,144.928,5.209
2429,20.608,0.487,86.24,4.409
2430,11.136,0.977,28.096,5.641
2431,0.832,0.091,2.776,0.129
2432,4.48,0.202,13.632,2.369
2434,0.192,0.091,0.32,0.091
2435,100.416,5.633,196.64,1.118
2436,24.576,0.143,33.28,0.091
2437,4.16,0.32,15.904,4.346
2438,4.992,0.143,18.4,1.28
2440,27.264,0.749,62.944,1.118
2441,25.12,5.345,58.4,4.971
2442,12.608,0.516,23.68,0.792
2443,5.632,0.143,28.896,1.541
2446,4.736,0.091,8.256,0.547
