trigger,T50,errT50,T90,errT90
3648,27.84,0.264,57.088,1.86
3649,6.016,0.32,26.496,3.937
3654,3.84,0.181,11.872,1.494
3655,5.312,0.68,19.424,4.409
3658,6.528,0.091,10.56,0.202
3662,24.832,0.091,68.896,1.208
3663,162.88,0.272,204.416,0.264
3664,40.416,2.073,85.216,10.546
3665,0.036,0.003,0.076,0.003
3668,0.076,0.006,0.176,0.1
3671,33.088,3.717,70.24,24.661
3709,0.711,0.073,4.288,0.643
3711,4.288,0.091,9.984,1.409
3717,40.864,2.187,59.232,6.924
3722,0.192,0.091,0.384,0.091
3728,0.168,0.058,0.536,0.241
3733,3.52,0.572,12.64,5.538
3735,0.32,0.036,1.301,0.091
3736,0.08,0.125,0.56,0.125
3737,0.08,0.011,0.32,0.082
3740,57.6,1.421,97.344,4.935
3742,0.256,0.091,0.448,0.091
3745,24.384,0.87,84.352,2.749
3751,0.176,0.124,0.535,0.264
3765,9.472,0.143,72.576,1.346
3766,118.016,0.264,134.496,6.325
3768,9.44,1.094,51.104,5.538
3770,0.416,0.023,0.544,0.036
3771,30.848,2.376,132.256,10.546
3773,54.368,1.118,107.424,3.962
3774,0.052,0.088,0.219,0.088
3776,4.16,0.091,11.072,1.797
3779,3.008,0.286,11.328,6.408
3782,0.064,0.011,0.16,0.029
3788,21.44,0.202,65.728,1.733
3791,0.112,0.023,0.336,0.023
3792,3.392,0.604,22.048,4.637
3799,0.048,0.023,0.096,0.129
3800,9.6,0.528,22.016,0.689
3801,12.384,1.208,30.752,6.861
3803,0.006,0.001,0.015,0.001
3805,9.28,1.012,30.08,2.725
3806,36.864,1.448,62.464,1.448
3807,2.88,0.487,5.696,0.994
3810,0.044,0.006,0.076,0.013
3811,2.432,0.091,5.44,0.326
3814,0.624,0.107,3.234,1.425
3815,1.92,0.202,6.784,15.489
3819,15.744,0.466,54.976,11.266
3840,1.609,0.091,4.169,1.108
3843,12.16,0.32,50.528,8.01
3853,39.808,6.531,91.264,14.02
3860,13.184,0.286,31.488,0.389
3864,35.328,0.968,51.2,0.779
3866,1.024,0.091,4.224,1.026
3867,0.299,0.091,0.939,0.129
3868,0.128,0.091,0.128,0.091
3869,2.752,0.466,8.64,4.369
3870,2.688,0.091,8.448,0.326
3871,8.128,0.528,44.096,1.581
3875,1.728,0.143,8.384,1.473
3879,4.8,0.389,30.88,7.68
3886,10.56,0.143,12.48,0.326
3888,0.176,0.101,1.736,0.202
3889,0.028,0.006,0.06,0.006
3890,5.184,0.181,12.224,0.32
3891,3.712,0.091,41.472,1.761
3892,1.664,0.091,3.904,0.181
3893,12.736,0.091,35.648,1.09
3894,0.752,0.023,1.483,0.311
3895,0.384,0.091,0.768,0.091
3899,13.184,1.77,44.384,9.4
3900,48.384,0.716,86.72,4.935
3901,12.352,0.891,43.52,5.961
3902,0.128,0.091,0.192,0.091
3903,17.792,1.69,66.432,4.435
3904,0.016,0.004,0.036,0.01
3905,5.184,0.547,24.256,3.032
3906,6.976,0.389,20.736,3.662
3908,5.344,1.026,13.92,1.243
3909,7.424,0.487,18.304,1.18
3910,0.056,0.018,0.088,0.018
3911,30.016,1.999,62.336,17.792
3912,7.424,0.264,26.048,1.286
3913,35.392,0.231,81.088,0.905
3914,21.248,3.323,54.432,4.522
3915,0.08,0.011,0.2,0.025
3916,32.128,0.716,115.456,8.768
3917,106.112,2.819,163.712,3.494
3918,20.864,0.716,110.464,2.057
3919,0.048,0.013,0.132,0.029
3921,0.192,0.023,0.464,0.161
3924,3.392,1.326,10.464,1.59
3926,7.104,0.181,9.952,1.073
3929,8.448,0.264,28.544,4.033
3930,8.512,0.091,172.736,27.264
3931,0.064,0.091,0.064,0.091
3935,7.616,0.87,27.232,4.136
3936,1.536,0.045,2.88,0.045
3938,19.776,0.41,66.976,1.9
3939,0.576,0.023,1.717,0.066
3940,0.256,0.091,0.576,0.091
3941,10.048,2.68,52.096,9.447
3954,3.968,0.091,29.696,2.617
4039,22.528,0.264,58.816,4.994
4048,4.224,0.143,13.696,0.405
4095,1.92,0.577,4.512,1.175
4146,16.384,0.487,42.592,4.098
4157,6.464,0.272,20.032,1.669
4216,10.496,0.792,25.472,2.312
4251,4.928,0.659,13.344,7.018
4312,2.048,0.143,9.024,1.518
4327,0.064,0.091,0.128,0.091
4350,31.36,0.091,52,1.073
4368,8.384,0.091,36.48,0.091
4388,60.032,1.421,71.04,2.499
4556,2.368,0.091,13.088,1.042
4569,2.816,0.143,6.08,1.583
4653,33.632,1.026,51.68,1.28
4660,0.608,0.023,1.168,0.08
4701,12.992,0.091,74.688,0.32
4710,3.264,0.143,9.984,1.026
4744,0.128,0.091,0.128,0.091
4745,246.688,0.143,259.488,0.516
4776,0.192,0.091,0.448,0.091
4807,0.064,0.091,0.192,0.091
4814,1.38,0.066,2.964,0.066
4871,0.128,0.091,0.384,0.091
4939,7.072,1.026,20.064,1.9
4955,0.096,0.023,0.464,0.036
4959,11.008,1.346,31.328,4.868
5079,0.56,0.145,1.184,0.304
5080,6.912,0.091,9.536,0.231
5206,0.176,0.023,0.304,0.023
5212,0.256,0.023,0.384,0.097
5255,15.744,0.861,69.472,13.67
5277,0.192,0.023,0.496,0.023
5304,10.688,0.091,22.784,0.326
5305,23.936,0.547,31.584,4.533
5316,0.032,0.011,0.072,0.011
5339,0.448,0.091,0.832,0.091
5379,4.608,0.091,11.328,0.32
5387,11.904,0.405,43.2,1.797
5389,10.816,0.453,23.744,0.202
5407,28.096,0.792,75.968,3.668
5409,35.904,0.891,70.4,5.322
5411,5.184,0.389,27.136,8.013
5412,42.56,0.81,98.848,2.851
5415,8.064,0.264,25.856,1.675
5416,13.248,0.202,23.232,1.866
5417,2.496,0.091,16.064,2.113
5419,8.576,0.181,22.784,1.231
5420,20.384,1.332,51.552,5.85
5421,199.04,0.231,266.752,0.771
5423,4.032,1.921,13.312,5.773
5428,16.96,1.93,98.496,8.033
5429,155.904,0.979,200.192,3.265
5433,16.448,3.905,75.968,2.207
5434,6.72,0.528,35.04,3.117
5439,0.192,0.091,4.544,0.143
5447,11.968,0.272,55.904,1.28
5448,0.512,0.023,0.896,0.059
5450,8.32,0.264,172.16,1.903
5451,5.12,0.143,24.512,0.834
5453,0.512,0.148,0.985,0.324
5454,16.896,0.286,35.872,2.45
5456,2.048,0.143,3.904,0.643
5458,0.016,0.241,0.024,0.011
5459,0.128,0.036,0.336,0.145
5461,0.768,0.091,1.408,0.143
5463,23.552,0.59,65.568,2.009
5464,10.752,0.202,28.864,2.041
5465,1.375,0.42,3.904,6.145
5466,5.696,0.666,16.288,3.666
5467,1.376,0.107,2.97,0.066
5469,0.96,0.023,1.504,0.051
5470,2.432,0.707,30.4,0.389
5471,0.814,0.023,1.758,0.023
5472,11.392,0.286,55.136,2.698
5473,15.104,0.143,80.64,3.083
5474,5.824,0.373,18.432,11.143
5475,25.664,3.137,72.8,5.033
5476,13.248,0.202,21.888,1.993
5477,1.344,0.091,17.088,0.707
5478,262.784,0.405,296.96,2.753
5479,38.272,0.345,137.344,9.486
5480,23.68,1.506,47.296,17.218
5482,126.944,1.118,253.28,9.909
5483,1.312,0.113,2.56,0.58
5484,13.184,1.096,64.576,8.832
5485,1.792,0.389,3.84,0.89
5486,14.976,0.091,86.72,0.143
5487,5.056,0.272,12.128,2.35
5488,0.096,0.045,0.192,0.045
5489,22.784,0.389,140.48,0.543
5490,9.28,0.834,18.368,0.604
5491,0.072,0.011,0.144,0.025
5492,9.792,2.166,148.48,1.59
5493,26.72,3.482,70.944,1.145
5494,18.88,1.154,32,3.203
5495,3.264,0.389,26.272,14.5
5496,0.016,0.006,0.056,0.009
5497,36.576,1.361,118.304,13.082
5498,0.273,0.068,0.769,0.21
5499,0.432,0.029,0.624,0.025
5500,0.056,0.011,0.136,0.164
5501,0.256,0.091,0.384,0.091
5502,0.064,0.091,0.064,0.091
5503,71.648,9.082,200.032,8.637
5504,3.676,0.193,7.68,3.009
5507,2.816,0.41,6.72,0.604
5508,439.104,5.261,488.704,6.213
5510,21.696,1.521,50.72,13.643
5512,18.752,0.143,90.336,13.096
5513,3.936,0.994,16.992,1.208
5515,24.32,1.484,49.728,6.213
5516,11.392,1.056,27.68,3.912
5517,2.688,0.143,14.464,2.627
5518,6.912,0.771,51.904,3.598
5523,3.712,0.091,17.888,1.361
5524,18.72,2.111,42.912,4.596
5526,34.88,0.643,72.448,1.797
5527,0.357,0.004,0.82,0.008
5528,0.224,0.011,0.855,0.075
5529,0.256,0.011,1.015,0.129
5530,2.658,0.01,4.955,0.065
5531,7.552,0.466,33.92,7.495
5533,0.448,0.091,0.768,0.091
5536,0.016,0.011,0.048,0.011
5537,0.256,0.091,0.448,0.091
5538,7.232,0.63,23.552,3.668
5539,8.576,2.433,77.824,26.693
5540,42.496,0.572,76.768,13.734
5541,5.888,0.453,26.432,6.088
5542,29.696,1.282,80,9.346
5545,2.432,0.202,12.544,2.433
5546,1.408,0.231,3.776,2.796
5547,0.512,0.091,0.896,0.143
5548,84.8,0.58,187.776,7.297
5551,31.36,0.462,60.384,2.817
5554,18.368,2.244,79.296,18.497
5555,18.304,1.243,49.216,4.875
5556,0.503,0.09,1.511,0.109
5559,4.288,0.59,16.736,2.764
5560,0.184,0.029,0.49,0.068
5561,0.032,0.011,0.104,0.011
5562,0.096,0.023,0.16,0.036
5563,0.778,0.074,4.89,0.211
5564,0.056,0.011,0.448,0.184
5565,3.136,0.091,12.832,2.176
5566,20.352,0.487,39.84,2.639
5567,3.136,0.091,12.736,0.143
5568,1.792,0.091,5.184,0.143
5569,11.2,0.792,24.832,1.807
5571,1.344,0.345,8.064,1.282
5572,11.2,0.771,20.096,0.771
5573,2.624,1.196,7.808,6.987
5574,28.736,1.346,119.808,12.936
5575,8.448,0.091,12.8,0.264
5576,0.112,0.025,0.192,0.097
5581,8.256,1.032,28.768,6.678
5585,82.112,0.516,229.888,3.65
5589,69.312,10.633,130.24,3.567
5590,19.392,0.41,43.904,5.724
5591,47.104,0.286,135.488,0.87
5592,0.15,0.03,0.475,0.255
5593,11.968,0.326,76.416,13.312
5594,4.864,0.181,12.8,3.329
5597,8.704,0.405,31.168,3.586
5599,0.297,0.016,0.598,0.043
5601,4.736,0.091,19.456,0.962
5603,20.672,1.096,51.968,3.203
5604,8.512,0.202,15.68,0.181
5605,1.728,0.345,7.296,1.319
5606,11.264,0.5,93.248,7.196
5607,0.512,0.091,1.088,0.091
5608,4.224,0.32,9.28,0.771
5610,75.392,1.895,95.36,2.01
5612,30.528,2.375,73.152,6.915
5614,2.176,0.091,5.312,0.091
5615,0.64,0.326,1.792,0.453
5617,12.8,0.326,31.872,0.962
5618,5.44,1.094,22.144,1.741
5619,0.065,0.006,0.167,0.044
5620,0.016,0.002,0.04,0.007
5621,3.456,0.091,9.536,0.202
5622,69.44,2.085,106.048,4.871
5624,6.912,0.516,116.544,3.974
5626,9.984,0.834,22.272,2.753
5627,1.92,0.231,7.616,3.178
5628,3.968,0.091,15.872,0.202
5632,15.744,0.405,49.408,4.672
5633,0.172,0.008,0.253,0.033
5634,0.576,0.091,1.152,0.091
5635,11.136,1.645,31.296,7.564
5637,4.928,0.264,13.184,1.409
5638,0.292,0.039,0.824,0.439
5640,3.264,0.572,16.448,1.793
5644,2.24,0.091,16.064,0.453
5645,12.416,0.643,40.96,7.68
5646,57.024,1.073,109.248,7.068
5647,0.192,0.091,1.088,0.326
5648,13.952,1.096,40.448,4.868
5650,0.543,0.073,1.1,0.12
5654,25.472,0.202,71.36,0.453
5655,2.624,0.143,6.208,0.659
5664,0.768,0.202,2.496,0.326
5667,6.592,0.551,33.216,4.409
5693,38.4,2.396,355.072,12.71
5697,0.896,0.091,2.624,0.143
5704,2.88,0.091,10.048,0.143
5706,26.368,2.262,152,6.803
5711,0.576,0.091,2.24,0.326
5713,21.184,1.208,50.432,2.68
5715,7.104,0.41,20.992,3.2
5716,44.48,2.222,62.784,3.535
5718,5.76,0.59,8.768,0.932
5719,3.2,0.389,9.792,0.834
5721,25.856,0.547,41.408,2.305
5723,25.6,1.448,39.936,1.69
5724,0.448,0.091,1.28,0.59
5725,10.624,0.689,40.64,1.282
5726,3.2,0.091,12.736,0.487
5729,15.424,0.202,52.992,0.716
5730,0.832,0.202,7.744,1.145
5731,26.176,0.389,60.032,2.12
5733,0.048,0.017,0.675,0.182
5736,55.872,1.243,79.168,8.383
5740,0.349,0.131,1.146,0.335
5770,0.251,0.091,0.727,0.467
5773,11.584,0.091,31.488,0.231
5867,2.24,0.091,13.184,0.264
5890,2.048,0.202,5.76,1.68
5955,3.328,0.202,11.648,2.241
5983,3.584,0.716,13.312,1.218
5989,22.528,0.143,26.944,0.326
5992,0.019,0.002,0.051,0.029
5995,7.872,0.091,26.688,1.056
6004,20.416,0.362,48.448,1.793
6082,2.496,0.091,6.208,0.272
6083,10.112,0.326,21.44,1.159
6090,2.624,0.091,6.08,0.202
6091,0.512,0.091,1.472,0.64
6096,0.384,0.091,4.288,1.154
6098,3.712,0.143,9.344,0.466
6100,3.84,0.091,16.256,0.326
6101,11.52,1.056,26.24,1.639
6102,19.2,2.255,60.48,7.431
6103,24.448,0.716,49.408,1.549
6104,4.352,0.345,11.904,1.223
6105,0.124,0.009,0.207,0.093
6109,26.432,1.318,55.296,4.465
6111,14.272,0.643,53.632,7.04
6113,1.664,0.202,37.952,1.409
6115,47.104,0.604,122.496,13.514
6117,0.371,0.029,0.711,0.063
6118,21.568,1.358,55.808,6.083
6119,5.056,0.528,15.104,1.729
6120,0.128,0.091,0.64,0.091
6123,0.069,0.003,0.186,0.042
6124,6.208,0.091,16.832,0.202
6125,219.648,12.376,1307.008,19.459
6127,22.656,1.803,70.08,7.938
6128,53.824,0.551,69.952,2.435
6131,4.288,2.177,10.048,0.181
6135,1.856,0.202,4.032,0.653
6136,1.216,0.091,1.92,0.643
6137,0.768,0.181,8.384,2.073
6139,13.504,1.28,30.656,2.817
6141,28.096,9.667,62.656,6.481
6144,0.46,0.037,0.69,0.062
6145,0.172,0.012,0.46,0.103
6147,10.816,0.58,32.832,1.09
6151,4.992,0.143,11.84,2.273
6152,16.064,1.286,34.24,10.497
6153,0.448,0.091,1.344,0.326
6154,27.008,0.59,49.344,1.154
6157,5.12,1.448,10.24,1.448
6158,1.792,0.453,8.576,1.635
6159,16.448,0.181,49.92,2.625
6165,27.84,1.28,68.032,7.241
6166,0.064,0.091,0.192,0.143
6167,20.224,0.41,61.696,2.29
6168,15.872,0.143,58.88,1.382
6176,6.336,0.429,14.144,1.484
6178,0.512,0.202,0.96,0.143
6180,0.256,0.143,0.896,0.091
6182,0.192,0.091,3.904,1.569
6186,5.184,0.231,16.192,6.785
6188,5.632,1.473,7.936,0.63
6189,4.032,0.181,8.192,1.032
6190,24.32,1.094,43.328,2.996
6194,7.616,0.181,35.264,1.056
6198,3.712,0.091,10.496,0.143
6204,3.072,1.026,3.136,1.026
6205,0.192,0.091,2.176,0.802
6206,0.576,0.091,6.464,1.921
6211,0.03,0.014,0.07,0.014
6215,0.192,0.091,0.64,0.264
6216,1.152,0.091,2.432,0.143
6219,1.856,0.326,2.752,1.665
6222,20.16,0.373,33.856,3.586
6223,4.8,4.74,11.008,2.284
6225,6.08,0.528,23.104,3.789
6226,10.24,0.373,63.04,4.839
6227,2.24,0.429,5.76,1.669
6228,14.912,2.851,30.4,8.192
6229,9.408,0.202,26.368,0.962
6230,0.32,0.143,1.28,0.771
6233,0.768,0.143,4.864,1.921
6234,22.848,2.44,89.664,28.097
6235,2.24,0.091,4.032,0.091
6237,0.256,0.091,0.64,0.326
6238,0.256,0.091,2.24,1.358
6241,2.752,0.516,8.768,3.139
6242,33.92,5.303,77.824,1.946
6243,28.48,18.435,35.392,2.009
6244,30.528,3.535,70.976,6.085
6249,34.24,1.105,102.208,3.851
6251,1.792,0.143,3.008,0.143
6263,0.256,0.091,1.984,0.181
6265,0.063,0.007,0.199,0.074
6266,15.552,0.286,37.568,0.59
6267,3.264,0.453,12.864,3.974
6269,6.08,0.81,22.976,7.171
6270,16.704,0.68,37.568,2.233
6271,50.944,0.771,60.096,6.08
6272,56.512,1.118,122.944,2.255
6273,15.68,1.056,48.64,5.159
6274,12.032,0.345,66.176,0.453
6275,0.192,0.091,1.984,0.345
6278,0.128,0.091,0.192,0.091
6279,15.936,0.272,32.512,2.947
6280,22.016,0.547,72.384,3.548
6281,0.512,0.143,3.072,0.707
6283,6.4,0.466,15.616,1.223
6284,0.092,0.038,0.208,0.087
6285,7.424,0.59,43.264,3.057
6288,3.712,0.202,13.184,2.121
6292,0.512,0.091,7.872,3.032
6293,0.128,0.091,0.192,0.091
6295,78.848,2.127,180.48,19.611
6298,2.944,0.792,9.984,3.259
6299,0.091,0.009,0.202,0.019
6300,8.256,0.59,63.168,5.807
6301,0.64,0.091,0.96,0.091
6303,9.664,0.264,33.984,2.881
6304,5.76,0.716,33.472,5.598
6305,6.848,1.073,25.792,8.01
6306,45.568,2.771,159.616,24.577
6307,0.576,0.091,1.984,0.834
6308,4.096,0.979,18.88,1.684
6309,8.832,0.487,22.656,1.605
6314,2.688,0.143,6.656,0.516
6315,7.36,0.231,37.248,9.22
6317,3.136,0.345,7.744,0.932
6319,20.096,0.643,33.024,6.08
6320,25.728,0.373,57.984,7.621
6321,6.4,0.389,22.592,1.733
6322,2.496,0.091,4.864,0.143
6323,3.584,2.021,20.352,1.042
6328,34.752,1.086,72.128,3.851
6329,13.44,0.181,37.632,0.979
6330,5.888,1.988,14.528,2.639
6331,0.832,0.143,2.432,0.707
6334,13.312,2.589,36.8,5.347
6335,97.728,0.389,149.184,4.16
6336,2.048,0.091,6.528,0.286
6337,30.72,0.994,64.576,4.868
6338,0.192,0.091,0.768,0.516
6339,4.48,0.59,15.232,0.231
6341,0.96,0.091,1.92,0.707
6342,11.072,0.389,11.712,5.824
6343,0.058,0.024,0.612,0.407
6344,34.176,0.749,67.776,1.358
6345,5.44,1.28,16.896,1.208
6346,37.248,1.438,136.064,8.256
6347,0.256,0.091,0.448,0.326
6349,28.288,0.643,82.688,3.447
6351,17.92,0.487,36.096,2.312
6353,44.288,0.405,114.496,1.319
6354,0.02,0.006,0.264,0.152
6355,12.544,0.854,29.184,2.841
6358,0.128,0.091,1.856,0.202
6361,0.062,0.007,0.901,0.302
6368,0.128,0.091,0.896,0.326
6369,6.016,0.41,29.312,2.176
6370,25.728,3.556,40.576,22.551
6371,0.23,0.032,0.66,0.11
6372,0.384,0.143,0.768,0.143
6375,14.208,1.921,31.104,4.672
6376,0.541,0.137,1.32,0.232
6380,32.128,0.689,65.6,2.463
6385,0.256,0.091,0.896,0.264
6386,0.448,0.091,0.832,0.091
6388,7.68,0.528,20.864,1.611
6390,25.664,1.026,48.192,2.945
6395,7.104,0.968,18.048,8
6396,30.4,2.127,52.672,3.011
6397,10.048,0.143,36.352,1.026
6398,0.512,0.446,1.989,0.67
6399,7.232,1.473,14.528,1.557
6400,8.704,0.264,14.08,0.707
6401,1.024,0.091,3.392,0.466
6404,5.696,0.091,36.992,0.202
6405,9.536,1,30.144,3.567
6408,3.712,0.466,7.104,2.755
6409,5.12,0.373,17.792,3.328
6411,1.92,0.668,6.464,2.233
6412,0.896,0.326,3.008,1.675
6413,2.688,0.091,6.528,0.091
6414,11.392,0.405,48.064,3.329
6419,7.36,2.084,25.92,3.605
6422,2.368,0.091,6.592,0.202
6425,1.088,0.143,8.896,1.145
6427,0.704,0.091,2.944,1.346
6428,4.096,2.29,12.288,5.514
6432,8.832,1.665,32.256,4.672
6433,0.128,0.091,0.192,0.091
6435,21.504,4.898,42.496,4.352
6436,0.192,0.091,6.208,3.781
6437,3.456,0.516,9.408,1.985
6439,0.192,0.091,0.256,0.091
6440,8.384,0.202,13.376,0.962
6443,2.176,0.202,6.592,2.113
6444,11.776,0.891,44.928,3.482
6445,0.256,0.091,1.536,0.202
6446,56.96,6.555,100.672,9.572
6447,0.256,0.091,1.024,0.143
6448,61.888,3.178,149.248,39.565
6450,17.856,3.389,23.488,3.152
6451,0.832,0.264,3.328,0.834
6452,0.286,0.036,0.54,0.172
6453,40.768,0.181,89.856,0.41
6454,383.488,2.136,616.256,5.124
6462,0.128,0.091,0.256,0.143
6469,0.192,0.091,1.792,0.771
6472,65.92,0.231,195.2,0.362
6486,0.042,0.004,0.075,0.002
6487,1.408,0.32,9.408,3.238
6488,1.152,0.202,2.24,0.466
6489,17.856,0.286,42.432,0.547
6490,25.6,1.002,54.72,3.851
6491,2.048,1.448,2.048,1.448
6497,1.728,0.231,3.328,0.73
6498,41.984,2.061,108.544,4.885
6504,14.272,0.389,47.488,2.241
6519,41.152,3.569,131.008,52.992
6520,49.472,1.319,69.504,3.543
6521,19.52,2.771,41.28,1.032
6522,343.744,27.456,377.984,13.312
6523,8.32,0.32,36.288,2.347
6525,28.352,0.202,48.32,0.41
6527,0.64,0.091,1.856,0.516
6528,4.352,0.143,15.68,3.603
6529,9.6,2.734,37.184,6.355
6531,8.128,0.41,16.064,1.319
6533,9.472,0.462,31.232,1.18
6534,1.216,0.202,4.352,1.223
6535,0.704,0.091,1.664,0.143
6536,1.984,0.668,6.784,1.59
6538,12.224,0.32,26.624,2.405
6539,5.888,0.143,13.632,2.241
6540,0.016,0.002,0.032,0.005
6542,0.832,0.091,1.024,0.202
6543,0.064,0.091,1.664,0.091
6544,11.328,0.707,32.96,2.627
6546,1.28,0.202,6.784,2.052
6547,0.029,0.012,0.097,0.048
6550,4.352,0.231,13.312,1.857
6551,26.816,2.47,59.008,3.845
6552,6.72,0.707,22.592,7.617
6554,8,0.091,10.368,0.202
6557,18.752,3.33,96.128,1.59
6560,16.704,0.143,36.8,0.264
6562,0.384,0.143,1.472,0.202
6564,8,0.389,30.72,4.3
6566,38.72,1.797,87.616,4.544
6569,0.738,0.04,0.936,0.079
6571,0.247,0.042,0.326,0.104
6573,0.082,0.008,0.289,0.075
6576,28.928,0.143,45.056,1.026
6577,9.92,0.326,22.784,2.563
6578,54.336,0.905,68.352,1.361
6579,1.984,0.091,2.944,0.091
6580,0.558,0.04,2.816,1.154
6582,2.624,0.091,7.04,1.218
6583,7.296,0.516,39.232,4.596
6585,6.592,0.264,17.536,1.69
6586,0.621,0.015,0.685,0.04
6587,9.856,0.091,23.04,0.143
6589,36.608,3.343,49.152,1.694
6590,23.168,0.923,114.112,2.084
6591,0.296,0.034,0.773,0.386
6592,10.048,0.362,25.664,2.405
6593,17.728,0.091,31.232,1.026
6598,6.08,0.231,17.472,2.248
6600,2.112,0.143,6.976,1.282
6601,236.48,2.255,269.44,8.577
6602,10.24,0.68,39.68,3.84
6605,5.504,0.143,16.704,1.154
6606,0.192,0.091,0.704,0.389
6610,20.16,0.716,71.936,3.482
6611,3.392,0.326,10.048,1.62
6613,4.992,0.668,42.368,6.348
6615,33.856,0.462,127.744,11.815
6616,14.784,2.39,34.688,3.598
6619,14.72,0.32,35.968,2.881
6620,79.232,2.176,128.128,6.903
6621,3.648,0.202,43.456,1.257
6622,282.944,3.589,389.376,7.494
6625,11.072,0.551,111.424,2.064
6629,28.416,1.802,239.552,1.548
6630,5.824,0.143,23.552,0.326
6631,2.24,0.516,7.168,1.243
6632,4.416,0.516,10.688,4.436
6634,0.433,0.021,0.583,0.047
6635,0.64,0.091,1.152,0.143
6638,2.432,0.091,3.072,1.09
6641,0.576,0.091,2.624,0.345
6642,57.92,0.749,105.024,1.208
6643,0.192,0.091,0.512,0.326
6645,0.013,0.003,0.036,0.008
6648,24.512,2.593,88.384,23.877
6649,3.84,0.389,16.448,6.528
6655,19.072,0.802,63.36,4.596
6657,20.16,0.779,42.368,1.35
6658,4.544,0.516,8.064,1.154
6659,0.115,0.009,0.2,0.01
6662,0.832,0.143,2.368,0.58
6665,5.76,0.091,18.56,0.264
6666,4.288,0.202,11.008,3.057
6668,0.048,0.002,0.116,0.006
6670,19.392,3.21,40.32,2.841
6671,0.192,0.091,0.256,0.091
6672,6.272,0.091,27.904,1.601
6673,7.488,0.528,18.304,1.857
6674,25.6,1.243,86.336,11.699
6676,3.648,0.181,12.736,1.921
6678,3.2,0.692,8.192,2.721
6679,0.896,0.091,1.408,0.091
6682,0.027,0.007,0.11,0.028
6683,3.264,0.091,9.28,0.389
6686,47.808,2.599,65.472,6.781
6689,0.09,0.011,0.192,0.022
6693,0.124,0.009,0.283,0.017
6694,11.264,0.326,39.936,2.369
6695,12.736,1.954,35.776,2.757
6697,0.768,0.091,1.216,0.143
6698,45.888,3.148,100.928,13.377
6700,0.128,0.091,0.192,0.091
6702,19.136,1.332,44.736,1.548
6707,9.792,0.286,34.88,3.781
6708,3.904,0.202,12.16,1.537
6710,0.576,0.143,1.088,0.202
6715,0.254,0.023,0.452,0.027
6718,0.214,0.041,0.344,0.078
6720,23.232,0.792,40.256,5.284
6745,94.464,0.63,134.656,4.906
6753,1.92,0.32,4.544,0.362
6757,0.96,0.143,2.432,1.62
6762,4.224,0.143,7.488,0.231
6763,11.136,0.264,33.92,1.196
6764,7.616,0.143,23.808,1.032
6767,52.096,1.972,218.88,15.515
6774,1.536,0.286,6.528,2.009
6782,21.888,2.562,39.68,2.433
6786,0.257,0.124,1.041,0.15
6787,0.256,0.091,0.768,0.202
6788,0.049,0.001,0.092,0.001
6796,11.968,1.368,21.312,2.021
6800,0.146,0.006,0.206,0.029
6802,13.184,0.405,31.296,5.326
6814,2.88,0.143,19.264,1.639
6816,9.344,0.466,35.136,0.231
6824,0.832,0.091,10.176,1.404
6830,6.656,1.056,28.352,3.238
6831,5.696,0.73,20.096,6.924
6853,1.984,0.143,7.104,1.741
6866,0.256,0.091,0.384,0.091
6867,0.384,0.091,0.768,0.326
6870,10.56,10.572,14.4,1.9
6877,6.72,0.143,13.056,0.272
6880,3.648,0.516,10.688,1.409
6882,6.528,0.5,15.04,1.601
6884,5.696,0.528,28.608,5.888
6891,306.304,1.032,411.648,9.273
6892,20.48,0.692,108.352,2.625
6903,51.392,1.93,211.392,1.319
6904,0.32,0.091,25.856,1.921
6911,1.408,0.202,5.312,1.665
6914,38.208,2.409,77.312,8.96
6916,0.192,0.091,0.96,0.202
6917,3.136,0.091,4.416,0.389
6930,20.096,0.898,36.8,0.643
6931,0.098,0.006,0.24,0.027
6935,32.576,1.82,88.256,6.987
6938,17.216,1.214,104.256,8.693
6963,10.88,0.091,19.84,0.143
6987,9.536,2.627,33.28,5.284
6989,34.496,1.374,78.208,7.938
7000,33.024,1.547,105.088,11.456
7009,0.064,0.091,0.192,0.091
7012,12.8,0.091,28.352,0.091
7028,3.712,0.389,22.208,0.916
7030,12.608,1.793,47.744,3.522
7060,0.063,0.01,0.146,0.074
7063,0.064,0.091,0.128,0.091
7064,9.28,0.202,41.088,5.248
7078,0.128,0.091,0.448,0.091
7087,15.616,0.528,54.592,7.428
7102,0.218,0.025,0.399,0.612
7106,0.2,0.026,0.523,0.222
7108,92.096,27.136,157.12,21.121
7110,41.984,2.894,78.208,11.013
7113,15.04,0.091,33.024,0.091
7116,2.624,0.528,20.224,11.195
7130,22.272,1.101,52.672,3.238
7133,0.665,0.06,1.079,0.37
7142,0.643,0.064,0.969,0.064
7147,13.952,0.405,22.464,0.792
7148,0.229,0.082,1.177,0.225
7159,4.71,5.763,13.056,26.831
7164,7.168,1.032,22.528,5.16
7167,27.392,3.43,51.712,3.851
7170,88.128,0.202,99.584,0.264
7172,2.496,0.143,27.648,1.675
7173,0.364,0.035,0.966,0.131
7178,28.608,7.182,52.416,5.574
7183,4.992,0.091,7.744,1.218
7185,80.064,0.792,147.456,0.453
7187,0.055,0.024,2.07,1.408
7191,12.096,3.746,44.928,19.191
7206,4.608,0.73,20.544,6.618
7207,8.96,0.326,24.192,0.466
7209,7.04,0.231,46.272,9.273
